"title","popularity","weighted_average","score","bag_of_words"
"Venom: The Last Dance","1.0","0.43176691520658084","0.7727067660826323","science fiction action adventure eddie and venom are on the run hunted by both of their worlds and with the net closing in the duo are forced into a devastating decision that will bring the curtains down on venom and eddies last dance "
"The Wild Robot","0.5834060102817107","0.7395795708183088","0.64587543449635","animation science fiction family after a shipwreck an intelligent robot called roz is stranded on an uninhabited island to survive the harsh environment roz bonds with the islands animals and cares for an orphaned baby goose "
"Terrifier 3","0.688585156215455","0.46880796650108647","0.6006742803297076","horror thriller mystery five years after surviving art the clowns halloween massacre sienna and jonathan are still struggling to rebuild their shattered lives as the holiday season approaches they try to embrace the christmas spirit and leave the horrors of the past behind but just when they think theyre safe art returns determined to turn their holiday cheer into a new nightmare the festive season quickly unravels as art unleashes his twisted brand of terror proving that no holiday is safe "
"Deadpool & Wolverine","0.46489507392978296","0.6747301620063322","0.5488291091604026","action comedy science fiction a listless wade wilson toils away in civilian life with his days as the morally flexible mercenary deadpool behind him but when his homeworld faces an existential threat wade must reluctantly suitup again with an even more reluctant wolverine "
"Gladiator II","0.6177628420246184","0.4402587391407182","0.5467612008710583","action adventure drama years after witnessing the death of the revered hero maximus at the hands of his uncle lucius is forced to enter the colosseum after his home is conquered by the tyrannical emperors who now lead rome with an iron fist with rage in his heart and the future of the empire at stake lucius must look to his past to find strength and honor to return the glory of rome to its people "
"Apocalypse Z: The Beginning of the End","0.5810518102753759","0.44026054322914954","0.5247353034568853","drama action horror when a kind of rabies that transforms people into aggressive creatures spreads across the planet manel isolates himself at home with his cat relying on his wits to survive but soon they must go out in search of food by land and by sea dodging many dangers "
"The Substance","0.4227455798773759","0.5415733312703581","0.4702766804345688","drama horror science fiction a fading celebrity decides to use a black market drug a cellreplicating substance that temporarily creates a younger better version of herself "
"Interstellar","0.13328027210500357","0.9472641420624479","0.45887382008798133","adventure drama science fiction the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage "
"Gladiator","0.18527870786501002","0.8661917007567805","0.45764390502171826","action drama adventure in the year  the death of emperor marcus aurelius throws the roman empire into chaos maximus is one of the roman armys most capable and trusted generals as well as a key advisor to the emperor as marcus devious son commodus ascends to the throne maximus is sentenced to execution he escapes but is captured by slave traders renamed spaniard and forced to become a gladiator maximus must battle to the death against other men for the amusement of paying audiences "
"The Dark Knight","0.10287700363369062","0.9630499019618253","0.4469461629649445","drama action crime thriller batman raises the stakes in his war on crime with the help of lt jim gordon and district attorney harvey dent batman sets out to dismantle the remaining criminal organizations that plague the streets the partnership proves to be effective but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of gotham as the joker "
"Transformers One","0.3737746446983147","0.5300185028514397","0.4362721879595647","animation science fiction adventure family the untold origin story of optimus prime and megatron better known as sworn enemies but once were friends bonded like brothers who changed the fate of cybertron forever "
"The Shawshank Redemption","0.05324154869794582","1.0000000000000002","0.4319449292187676","drama crime imprisoned in the s for the double murder of his wife and her lover upstanding banker andy dufresne begins a new life at the shawshank prison where he puts his accounting skills to work for an amoral warden during his long stretch in prison dufresne comes to be admired by the other inmates  including an older prisoner named red  for his integrity and unquenchable sense of hope "
"The Godfather","0.046291217708150076","0.9857807756123711","0.4220870408698385","drama crime spanning the years  to  a chronicle of the fictional italianamerican corleone crime family when organized crime family patriarch vito corleone barely survives an attempt on his life his youngest son michael steps in to take care of the wouldbe killers launching a campaign of bloody revenge "
"Alien: Romulus","0.3146236055355531","0.5435847756889389","0.4062080735969074","science fiction horror while scavenging the deep ends of a derelict space station a group of young space colonizers come face to face with the most terrifying life form in the universe "
"The Lord of the Rings: The Return of the King","0.04461596308795024","0.9463251219111062","0.40529962661721264","adventure fantasy action as armies mass for a final battle that will decide the fate of the worldand powerful ancient forces of light and dark compete to determine the outcomeone member of the fellowship of the ring is revealed as the noble heir to the throne of the kings of men yet the sole hope for triumph over evil lies with a brave hobbit frodo who accompanied by his loyal friend sam and the hideous wretched gollum ventures deep into the very dark heart of mordor on his seemingly impossible quest to destroy the ring of power "
"The Lord of the Rings: The Fellowship of the Ring","0.04524096916396264","0.9280402759279653","0.39836069186956374","adventure fantasy action young hobbit frodo baggins after inheriting a mysterious ring from his uncle bilbo must leave his home in order to keep it from falling into the hands of its evil creator along the way a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination mt doom the only place where it can be destroyed "
"Classified","0.38671004390722563","0.4156657654984961","0.3982923325437338","action thriller operating alone in the field for more than  years a cia hitman uses the help wanted section of the newspapers to get his orders from the agency his longlost daughter now a uk mi analyst tracks him down to deliver shocking news his cia boss has been dead for years and the division long since shut down together they set out to discover whose orders hes been executing "
"Schindler's List","0.03729432894010196","0.9379013705817589","0.3975371455967648","drama history war the true story of how businessman oskar schindler saved over a thousand jewish lives from the nazis while they worked as slaves in his factory during world war ii "
"Inception","0.040454168991231415","0.9299868317638509","0.39626723410027925","action science fiction adventure cobb a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible inception the implantation of another persons idea into a targets subconscious "
"Forrest Gump","0.02571368449705827","0.9518408507773903","0.3961645510091911","comedy drama romance a man with a low iq has accomplished great things in his life and been present during significant historic events—in each case far exceeding what anyone imagined he could do but despite all he has achieved his one true love eludes him "
